year,house_price_CPI,rent_CPI,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,average
1915,NA,21.2,10.1,10,9.9,10,10.1,10.1,10.1,10.1,10.1,10.2,10.3,10.3,10.1
1916,NA,NA,10.4,10.4,10.5,10.6,10.7,10.8,10.8,10.9,11.1,11.3,11.5,11.6,10.9
1916,NA,NA,10.4,10.4,10.5,10.6,10.7,10.8,10.8,10.9,11.1,11.3,11.5,11.6,10.9
1916,NA,NA,10.4,10.4,10.5,10.6,10.7,10.8,10.8,10.9,11.1,11.3,11.5,11.6,10.9
1916,NA,21.4,10.4,10.4,10.5,10.6,10.7,10.8,10.8,10.9,11.1,11.3,11.5,11.6,10.9
1917,NA,NA,11.7,12,12,12.6,12.8,13,12.8,13,13.3,13.5,13.5,13.7,12.8
1917,NA,NA,11.7,12,12,12.6,12.8,13,12.8,13,13.3,13.5,13.5,13.7,12.8
1917,NA,NA,11.7,12,12,12.6,12.8,13,12.8,13,13.3,13.5,13.5,13.7,12.8
1917,NA,21,11.7,12,12,12.6,12.8,13,12.8,13,13.3,13.5,13.5,13.7,12.8
1918,NA,NA,14,14.1,14,14.2,14.5,14.7,15.1,15.4,15.7,16,16.3,16.5,15.1
1918,NA,NA,14,14.1,14,14.2,14.5,14.7,15.1,15.4,15.7,16,16.3,16.5,15.1
1918,NA,NA,14,14.1,14,14.2,14.5,14.7,15.1,15.4,15.7,16,16.3,16.5,15.1
1918,NA,22,14,14.1,14,14.2,14.5,14.7,15.1,15.4,15.7,16,16.3,16.5,15.1
1919,NA,NA,16.5,16.2,16.4,16.7,16.9,16.9,17.4,17.7,17.8,18.1,18.5,18.9,17.3
1919,NA,22.9,16.5,16.2,16.4,16.7,16.9,16.9,17.4,17.7,17.8,18.1,18.5,18.9,17.3
1919,NA,NA,16.5,16.2,16.4,16.7,16.9,16.9,17.4,17.7,17.8,18.1,18.5,18.9,17.3
1919,NA,24.9,16.5,16.2,16.4,16.7,16.9,16.9,17.4,17.7,17.8,18.1,18.5,18.9,17.3
1920,NA,NA,19.3,19.5,19.7,20.3,20.6,20.9,20.8,20.3,20,19.9,19.8,19.4,20
1920,NA,27,19.3,19.5,19.7,20.3,20.6,20.9,20.8,20.3,20,19.9,19.8,19.4,20
1920,NA,NA,19.3,19.5,19.7,20.3,20.6,20.9,20.8,20.3,20,19.9,19.8,19.4,20
1920,NA,29.8,19.3,19.5,19.7,20.3,20.6,20.9,20.8,20.3,20,19.9,19.8,19.4,20
1921,NA,NA,19,18.4,18.3,18.1,17.7,17.6,17.7,17.7,17.5,17.5,17.4,17.3,17.9
1921,NA,31.6,19,18.4,18.3,18.1,17.7,17.6,17.7,17.7,17.5,17.5,17.4,17.3,17.9
1921,NA,31.8,19,18.4,18.3,18.1,17.7,17.6,17.7,17.7,17.5,17.5,17.4,17.3,17.9
1921,NA,32.3,19,18.4,18.3,18.1,17.7,17.6,17.7,17.7,17.5,17.5,17.4,17.3,17.9
1922,NA,32.2,16.9,16.9,16.7,16.7,16.7,16.7,16.8,16.6,16.6,16.7,16.8,16.9,16.8
1922,NA,32.4,16.9,16.9,16.7,16.7,16.7,16.7,16.8,16.6,16.6,16.7,16.8,16.9,16.8
1922,NA,32.4,16.9,16.9,16.7,16.7,16.7,16.7,16.8,16.6,16.6,16.7,16.8,16.9,16.8
1922,NA,32.6,16.9,16.9,16.7,16.7,16.7,16.7,16.8,16.6,16.6,16.7,16.8,16.9,16.8
1923,NA,32.8,16.8,16.8,16.8,16.9,16.9,17,17.2,17.1,17.2,17.3,17.3,17.3,17.1
1923,NA,33.2,16.8,16.8,16.8,16.9,16.9,17,17.2,17.1,17.2,17.3,17.3,17.3,17.1
1923,NA,33.5,16.8,16.8,16.8,16.9,16.9,17,17.2,17.1,17.2,17.3,17.3,17.3,17.1
1923,NA,34,16.8,16.8,16.8,16.9,16.9,17,17.2,17.1,17.2,17.3,17.3,17.3,17.1
1924,NA,34.1,17.3,17.2,17.1,17,17,17,17.1,17,17.1,17.2,17.2,17.3,17.1
1924,NA,34.5,17.3,17.2,17.1,17,17,17,17.1,17,17.1,17.2,17.2,17.3,17.1
1924,NA,34.6,17.3,17.2,17.1,17,17,17,17.1,17,17.1,17.2,17.2,17.3,17.1
1924,NA,34.6,17.3,17.2,17.1,17,17,17,17.1,17,17.1,17.2,17.2,17.3,17.1
1925,NA,NA,17.3,17.2,17.3,17.2,17.3,17.5,17.7,17.7,17.7,17.7,18,17.9,17.5
1925,NA,34.6,17.3,17.2,17.3,17.2,17.3,17.5,17.7,17.7,17.7,17.7,18,17.9,17.5
1925,NA,NA,17.3,17.2,17.3,17.2,17.3,17.5,17.7,17.7,17.7,17.7,18,17.9,17.5
1925,NA,34.5,17.3,17.2,17.3,17.2,17.3,17.5,17.7,17.7,17.7,17.7,18,17.9,17.5
1926,NA,NA,17.9,17.9,17.8,17.9,17.8,17.7,17.5,17.4,17.5,17.6,17.7,17.7,17.7
1926,NA,34.2,17.9,17.9,17.8,17.9,17.8,17.7,17.5,17.4,17.5,17.6,17.7,17.7,17.7
1926,NA,NA,17.9,17.9,17.8,17.9,17.8,17.7,17.5,17.4,17.5,17.6,17.7,17.7,17.7
1926,NA,34,17.9,17.9,17.8,17.9,17.8,17.7,17.5,17.4,17.5,17.6,17.7,17.7,17.7
1927,NA,NA,17.5,17.4,17.3,17.3,17.4,17.6,17.3,17.2,17.3,17.4,17.3,17.3,17.4
1927,NA,33.7,17.5,17.4,17.3,17.3,17.4,17.6,17.3,17.2,17.3,17.4,17.3,17.3,17.4
1927,NA,NA,17.5,17.4,17.3,17.3,17.4,17.6,17.3,17.2,17.3,17.4,17.3,17.3,17.4
1927,NA,33.3,17.5,17.4,17.3,17.3,17.4,17.6,17.3,17.2,17.3,17.4,17.3,17.3,17.4
1928,NA,NA,17.3,17.1,17.1,17.1,17.2,17.1,17.1,17.1,17.3,17.2,17.2,17.1,17.1
1928,NA,32.9,17.3,17.1,17.1,17.1,17.2,17.1,17.1,17.1,17.3,17.2,17.2,17.1,17.1
1928,NA,NA,17.3,17.1,17.1,17.1,17.2,17.1,17.1,17.1,17.3,17.2,17.2,17.1,17.1
1928,NA,32.5,17.3,17.1,17.1,17.1,17.2,17.1,17.1,17.1,17.3,17.2,17.2,17.1,17.1
1929,NA,NA,17.1,17.1,17,16.9,17,17.1,17.3,17.3,17.3,17.3,17.3,17.2,17.1
1929,NA,32.1,17.1,17.1,17,16.9,17,17.1,17.3,17.3,17.3,17.3,17.3,17.2,17.1
1929,NA,NA,17.1,17.1,17,16.9,17,17.1,17.3,17.3,17.3,17.3,17.3,17.2,17.1
1929,NA,31.8,17.1,17.1,17,16.9,17,17.1,17.3,17.3,17.3,17.3,17.3,17.2,17.1
1930,NA,NA,17.1,17,16.9,17,16.9,16.8,16.6,16.5,16.6,16.5,16.4,16.1,16.7
1930,NA,31.3,17.1,17,16.9,17,16.9,16.8,16.6,16.5,16.6,16.5,16.4,16.1,16.7
1930,NA,NA,17.1,17,16.9,17,16.9,16.8,16.6,16.5,16.6,16.5,16.4,16.1,16.7
1930,NA,30.7,17.1,17,16.9,17,16.9,16.8,16.6,16.5,16.6,16.5,16.4,16.1,16.7
1931,NA,NA,15.9,15.7,15.6,15.5,15.3,15.1,15.1,15.1,15,14.9,14.7,14.6,15.2
1931,NA,29.7,15.9,15.7,15.6,15.5,15.3,15.1,15.1,15.1,15,14.9,14.7,14.6,15.2
1931,NA,NA,15.9,15.7,15.6,15.5,15.3,15.1,15.1,15.1,15,14.9,14.7,14.6,15.2
1931,NA,28.6,15.9,15.7,15.6,15.5,15.3,15.1,15.1,15.1,15,14.9,14.7,14.6,15.2
1932,NA,NA,14.3,14.1,14,13.9,13.7,13.6,13.6,13.5,13.4,13.3,13.2,13.1,13.7
1932,NA,26.7,14.3,14.1,14,13.9,13.7,13.6,13.6,13.5,13.4,13.3,13.2,13.1,13.7
