year,average,median_equiv_2018,region,min,min_2018
2019,NA,NA,NA,7.25,7.25
2018,251.107,63179,US,7.25,7.49
2018,251.107,70113,Northeast,7.25,7.49
2018,251.107,64069,Midwest,7.25,7.49
2018,251.107,57299,South,7.25,7.49
2018,251.107,69520,West,7.25,7.49
2017,245.12,62626,US,7.25,7.6499999999999995
2017,245.12,62868,US,7.25,7.6499999999999995
2017,245.12,67192,Northeast,7.25,7.6499999999999995
2017,245.12,68070,Northeast,7.25,7.6499999999999995
2017,245.12,62613,Midwest,7.25,7.6499999999999995
2017,245.12,62626,Midwest,7.25,7.6499999999999995
2017,245.12,57135,South,7.25,7.6499999999999995
2017,245.12,57067,South,7.25,7.6499999999999995
2017,245.12,68593,West,7.25,7.6499999999999995
2017,245.12,69163,West,7.25,7.6499999999999995
2016,240.008,61779,US,7.25,7.84
2016,240.008,67378,Northeast,7.25,7.84
2016,240.008,61011,Midwest,7.25,7.84
2016,240.008,56360,South,7.25,7.84
2016,240.008,67258,West,7.25,7.84
2015,237.017,59901,US,7.25,7.95
2015,237.017,65907,Northeast,7.25,7.95
2015,237.017,60501,Midwest,7.25,7.95
2015,237.017,54239,South,7.25,7.95
2015,237.017,65123,West,7.25,7.95
2014,236.736,56969,US,7.25,7.94
2014,236.736,62865,Northeast,7.25,7.94
2014,236.736,57617,Midwest,7.25,7.94
2014,236.736,52720,South,7.25,7.94
2014,236.736,61249,West,7.25,7.94
2013,232.95700000000002,57856,US,7.25,8.06
2013,232.95700000000002,56079,US,7.25,8.06
2013,232.95700000000002,61401,Northeast,7.25,8.06
2013,232.95700000000002,61300,Northeast,7.25,8.06
2013,232.95700000000002,57684,Midwest,7.25,8.06
2013,232.95700000000002,56233,Midwest,7.25,8.06
2013,232.95700000000002,53828,South,7.25,8.06
2013,232.95700000000002,51964,South,7.25,8.06
2013,232.95700000000002,64270,West,7.25,8.06
2013,232.95700000000002,60659,West,7.25,8.06
2012,229.594,55900,US,7.25,8.19
2012,229.594,59855,Northeast,7.25,8.19
2012,229.594,55310,Midwest,7.25,8.19
2012,229.594,52630,South,7.25,8.19
2012,229.594,60436,West,7.25,8.19
2011,224.939,56006,US,7.25,8.43
2011,224.939,60269,Northeast,7.25,8.43
2011,224.939,54516,Midwest,7.25,8.43
2011,224.939,52476,South,7.25,8.43
2011,224.939,58604,West,7.25,8.43
2010,218.056,56873,US,7.25,8.57
2010,218.056,61167,Northeast,7.25,8.57
2010,218.056,55679,Midwest,7.25,8.57
2010,218.056,52448,South,7.25,8.57
2010,218.056,61124,West,7.25,8.57
2009,214.537,58400,US,7.25,8.8
2009,214.537,62266,Northeast,7.25,8.8
2009,214.537,57344,Midwest,7.25,8.8
2009,214.537,53517,South,7.25,8.8
2009,214.537,63158,West,7.25,8.8
2008,215.303,58811,US,6.55,7.95
